stratum_bmv2 -device_id=1 -chassis_config_file=/tmp/spine2/chassis-config.txt -forwarding_pipeline_configs_file=/tmp/spine2/pipe.txt -persistent_config_dir=/tmp/spine2 -initial_pipeline=/root/dummy.json -cpu_port=255 -external_stratum_urls=0.0.0.0:50004 -local_stratum_url=localhost:44017 -max_num_controllers_per_node=10 -write_req_log_file=/tmp/spine2/write-reqs.txt -logtosyslog=false -logtostderr=true -bmv2_log_level=warn

--------------------------------------------------------------------------------

E1020 21:58:23.573071   148 main.cc:121] Starting bmv2 simple_switch and waiting for P4 pipeline
W1020 21:58:23.608562   148 credentials_manager.cc:45] Using insecure server credentials
I1020 21:58:23.609150   148 timer_daemon.cc:90] The timer daemon has been started.
I1020 21:58:23.609222   148 hal.cc:128] Setting up HAL in COLDBOOT mode...
I1020 21:58:23.609298   148 config_monitoring_service.cc:90] Pushing the saved chassis config read from /tmp/spine2/chassis-config.txt...
I1020 21:58:23.614723   148 bmv2_chassis_manager.cc:476] Registered port status callbacks successfully for node 1.
I1020 21:58:23.614770   148 bmv2_chassis_manager.cc:61] Adding port 1 to node 1
I1020 21:58:23.651345   148 bmv2_chassis_manager.cc:61] Adding port 2 to node 1
I1020 21:58:23.696200   148 p4_service.cc:119] Pushing the saved forwarding pipeline configs read from /tmp/spine2/pipe.txt...
E1020 21:58:23.702540   148 utils.cc:109] StratumErrorSpace::ERR_FILE_NOT_FOUND: /tmp/spine2/pipe.txt not found.
E1020 21:58:23.702939   148 utils.cc:65] Return Error: ReadFileToString(filename, &text) failed with StratumErrorSpace::ERR_FILE_NOT_FOUND: /tmp/spine2/pipe.txt not found.
W1020 21:58:23.702961   148 p4_service.cc:128] No saved forwarding pipeline config found at /tmp/spine2/pipe.txt. This is normal when the switch is just installed and no master controller is connected yet.
E1020 21:58:23.720718561     148 server_chttp2.cc:40]        {"created":"@1697839103.720675274","description":"Only 1 addresses added out of total 2 resolved","file":"external/com_github_grpc_grpc/src/core/ext/transport/chttp2/server/chttp2_server.cc","file_line":406,"referenced_errors":[{"created":"@1697839103.720671760","description":"Address family not supported by protocol","errno":97,"file":"external/com_github_grpc_grpc/src/core/lib/iomgr/socket_utils_common_posix.cc","file_line":420,"os_error":"Address family not supported by protocol","syscall":"socket","target_address":"[::1]:44017"}]}
E1020 21:58:23.721774   148 hal.cc:223] Stratum external facing services are listening to 0.0.0.0:50004, localhost:44017...
I1020 21:58:23.832306   211 bmv2_chassis_manager.cc:409] State of port 1 in node 1: UP.
I1020 21:58:23.841903   211 bmv2_chassis_manager.cc:409] State of port 2 in node 1: UP.
I1020 22:01:01.719729   221 p4_service.cc:696] Controller (connection_id: 1, election_id: 20, uri: ipv4:172.25.0.3:36348) is connected as MASTER for node (aka device) with ID 1.
I1020 22:01:01.771011   221 p4_service.cc:696] Controller (connection_id: 1, election_id: 40, uri: ipv4:172.25.0.3:36348) is connected as MASTER for node (aka device) with ID 1.
I1020 22:01:02.341094   247 bmv2_switch.cc:74] P4-based forwarding pipeline config pushed successfully to node with ID 1.
E1020 22:01:02.527503   247 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1020 22:01:02.527633   247 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1020 22:01:02.539404   247 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1020 22:01:02.539486   247 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1020 22:01:02.539600   247 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1020 22:01:02.542028   247 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1020 22:01:02.542112   247 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1020 22:01:02.564173   247 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1020 22:01:02.564317   247 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
E1020 22:01:02.579082   247 bmv2_switch.cc:189] StratumErrorSpace::ERR_INTERNAL: Not supported yet
I1020 22:01:02.986857   221 p4_service.cc:696] Controller (connection_id: 1, election_id: 40, uri: ipv4:172.25.0.3:36348) is connected as MASTER for node (aka device) with ID 1.
I1020 22:01:03.452176   239 config_monitoring_service.cc:377] Initial Subscribe request from ipv4:172.25.0.3:36360 over stream 0x7f149a0d2510.
I1023 15:25:42.520840   239 config_monitoring_service.cc:569] Subscribe stream 0x7f149a0d2510 from ipv4:172.25.0.3:36360 has been closed.
I1023 15:25:42.509593   221 p4_service.cc:723] Controller (connection_id: 1, election_id: 40, uri: ipv4:172.25.0.3:36348) which was MASTER for node (aka device) with ID 1 is disconnected. The node is now orphan :(
